         2156267 function calls (2116685 primitive calls) in 15.867 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14517    0.008    0.000    0.010    0.000 artist.py:338(pchanged)
    67103    0.008    0.000    0.008    0.000 artist.py:774(get_animated)
  791/240    0.008    0.000    0.022    0.000 sre_parse.py:470(_parse)
    15231    0.008    0.000    0.009    0.000 __init__.py:2157(_check_in_list)
91861/91154    0.008    0.000    0.008    0.000 {built-in method builtins.len}
      279    0.008    0.000    0.011    0.000 __init__.py:611(dispatch_events)
      513    0.008    0.000    0.008    0.000 {built-in method tensor}
      279    0.008    0.000    0.009    0.000 __init__.py:1222(clear)
     2034    0.007    0.000    0.053    0.000 markers.py:292(set_marker)
     8815    0.007    0.000    0.012    0.000 transforms.py:1683(__init__)
     5491    0.007    0.000    0.007    0.000 {method 'copy' of 'numpy.ndarray' objects}
      155    0.007    0.000    3.560    0.023 03_DQN_training.py:40(forward)
      433    0.007    0.000    0.065    0.000 text.py:655(draw)
      279    0.007    0.000    0.007    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
     1065    0.007    0.000    0.013    0.000 transforms.py:1914(rotate)
        3    0.007    0.002    0.151    0.050 __init__.py:142(_create)
      510    0.007    0.000    0.007    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
     1557    0.007    0.000    0.014    0.000 lines.py:1146(set_linestyle)
      155    0.007    0.000    0.869    0.006 batchnorm.py:58(forward)
     2619    0.007    0.000    0.018    0.000 transforms.py:726(__init__)
       64    0.007    0.000    0.020    0.000 random.py:285(sample)
     2547    0.006    0.000    0.034    0.000 lib_wgl.py:108(link_GL)
     1139    0.006    0.000    0.044    0.000 text.py:121(__init__)
        1    0.006    0.006    0.006    0.006 win32.py:31(_get_pixel_format_descriptor_matching_configs)
    50790    0.006    0.000    0.006    0.000 {method 'pop' of 'dict' objects}
      723    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
     7406    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x000000006FB6BC00}
  302/258    0.006    0.000    0.240    0.001 axis.py:842(reset_ticks)
    41120    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
      539    0.006    0.000    0.048    0.000 lines.py:751(draw)
      104    0.006    0.000    0.117    0.001 ticker.py:2019(_raw_ticks)
      263    0.006    0.000    0.009    0.000 cartpole.py:91(step)
      279    0.006    0.000    0.006    0.000 {method 'view' of 'torch._C._TensorBase' objects}
        2    0.006    0.003    0.020    0.010 __init__.py:289(close)
      792    0.005    0.000    0.123    0.000 <frozen importlib._bootstrap>:870(_find_spec)
     6260    0.005    0.000    0.025    0.000 artist.py:49(_stale_axes_callback)
 1483/226    0.005    0.000    0.016    0.000 sre_compile.py:64(_compile)
        2    0.005    0.003    0.005    0.003 win32.py:219(detach)
     3195    0.005    0.000    0.015    0.000 transforms.py:2299(__init__)
      279    0.005    0.000    3.103    0.011 cartpole.py:137(render)
    48685    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
    805/9    0.005    0.000    1.046    0.116 <frozen importlib._bootstrap>:966(_find_and_load)
      219    0.005    0.000    0.005    0.000 {method 'flatten' of 'torch._C._TensorBase' objects}
     1010    0.005    0.000    0.075    0.000 patches.py:728(_update_patch_transform)
     1469    0.005    0.000    0.006    0.000 font_manager.py:776(set_weight)
       97    0.005    0.000    0.005    0.000 {built-in method nt.listdir}
      171    0.005    0.000    0.006    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       96    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
     1116    0.005    0.000    0.106    0.000 rendering.py:164(render)
     3815    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
     3815    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
