         2719936 function calls (2672071 primitive calls) in 31.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1941    0.012    0.000    0.053    0.000 font_manager.py:620(__init__)
     1336    0.011    0.000    0.161    0.000 artist.py:709(set_clip_path)
    89395    0.011    0.000    0.011    0.000 artist.py:774(get_animated)
7412/6426    0.011    0.000    0.012    0.000 transforms.py:137(_invalidate_internal)
    20324    0.011    0.000    0.013    0.000 __init__.py:2157(_check_in_list)
      810    0.011    0.000    0.011    0.000 {method 't' of 'torch._C._TensorBase' objects}
    15479    0.011    0.000    0.011    0.000 _weakrefset.py:70(__contains__)
      391    0.010    0.000    0.743    0.002 Image.py:2612(fromarray)
      699    0.010    0.000    0.010    0.000 {built-in method tensor}
      391    0.010    0.000    0.010    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
    19389    0.010    0.000    0.012    0.000 artist.py:338(pchanged)
      391    0.010    0.000    0.011    0.000 __init__.py:1222(clear)
100736/100029    0.010    0.000    0.010    0.000 {built-in method builtins.len}
    11738    0.010    0.000    0.018    0.000 transforms.py:1683(__init__)
     7338    0.010    0.000    0.010    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1442    0.010    0.000    0.019    0.000 transforms.py:1914(rotate)
      561    0.009    0.000    0.091    0.000 text.py:655(draw)
     6192    0.009    0.000    0.009    0.000 module.py:571(__getattr__)
     2708    0.009    0.000    0.072    0.000 markers.py:292(set_marker)
     2078    0.009    0.000    0.020    0.000 lines.py:1146(set_linestyle)
     3520    0.009    0.000    0.027    0.000 transforms.py:726(__init__)
    50630    0.009    0.000    0.009    0.000 {method 'getrandbits' of '_random.Random' objects}
     2025    0.009    0.000    0.009    0.000 {built-in method torch._C._get_tracing_state}
     1521    0.009    0.000    0.061    0.000 text.py:121(__init__)
  406/346    0.009    0.000    0.343    0.001 axis.py:842(reset_ticks)
    65116    0.008    0.000    0.008    0.000 {method 'pop' of 'dict' objects}
      697    0.008    0.000    0.068    0.000 lines.py:751(draw)
        1    0.008    0.008    0.009    0.009 {built-in method torch._C._jit_script_compile}
      172    0.008    0.000    0.008    0.000 {method 'eq' of 'torch._C._TensorBase' objects}
      735    0.008    0.000    0.008    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
     1178    0.008    0.000    0.090    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      371    0.008    0.000    0.013    0.000 cartpole.py:91(step)
      172    0.008    0.000    0.008    0.000 {method 'gather' of 'torch._C._TensorBase' objects}
      391    0.008    0.000    0.008    0.000 {method 'view' of 'torch._C._TensorBase' objects}
     8342    0.008    0.000    0.035    0.000 artist.py:49(_stale_axes_callback)
     1564    0.007    0.000    0.153    0.000 rendering.py:164(render)
    64618    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
  791/240    0.007    0.000    0.020    0.000 sre_parse.py:470(_parse)
      221    0.007    0.000    0.008    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     4311    0.007    0.000    0.021    0.000 transforms.py:2299(__init__)
     1371    0.007    0.000    0.106    0.000 patches.py:728(_update_patch_transform)
      136    0.007    0.000    0.152    0.001 ticker.py:2019(_raw_ticks)
        3    0.007    0.002    0.142    0.047 __init__.py:142(_create)
     1957    0.007    0.000    0.008    0.000 font_manager.py:776(set_weight)
    46281    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
     1720    0.007    0.000    0.052    0.000 artist.py:1064(set)
     8884    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x000000006FB6BC00}
      391    0.007    0.000    3.247    0.008 cartpole.py:137(render)
     5416    0.007    0.000    0.048    0.000 markers.py:245(_recache)
2852/2248    0.006    0.000    0.155    0.000 spines.py:487(get_spine_transform)
     2547    0.006    0.000    0.033    0.000 lib_wgl.py:108(link_GL)
      391    0.006    0.000    0.006    0.000 {method 'float' of 'torch._C._TensorBase' objects}
     1957    0.006    0.000    0.008    0.000 font_manager.py:812(set_size)
      782    0.006    0.000    0.006    0.000 {method 'transpose' of 'torch._C._TensorBase' objects}
     7229    0.006    0.000    0.023    0.000 <__array_function__ internals>:2(dot)
      272    0.006    0.000    0.007    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    12294    0.006    0.000    0.033    0.000 {built-in method builtins.next}
     5942    0.006    0.000    0.015    0.000 contextlib.py:85(__exit__)
     4779    0.006    0.000    0.018    0.000 transforms.py:1819(__init__)
     4156    0.006    0.000    0.009    0.000 lines.py:1113(_split_drawstyle_linestyle)
     2006    0.006    0.000    0.028    0.000 transforms.py:1976(scale)
      723    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
     4415    0.005    0.000    0.029    0.000 transforms.py:2470(composite_transform_factory)
        1    0.005    0.005    0.005    0.005 win32.py:31(_get_pixel_format_descriptor_matching_configs)
     1442    0.005    0.000    0.025    0.000 transforms.py:1930(rotate_deg)
     6426    0.005    0.000    0.018    0.000 transforms.py:126(invalidate)
     1957    0.005    0.000    0.008    0.000 font_manager.py:660(__hash__)
     2742    0.005    0.000    0.025    0.000 transforms.py:1962(translate)
      731    0.005    0.000    0.051    0.000 text.py:270(_get_layout)
 1483/226    0.005    0.000    0.015    0.000 sre_compile.py:64(_compile)
      935    0.005    0.000    0.005    0.000 stride_tricks.py:185(_broadcast_shape)
  1717/17    0.005    0.000    0.740    0.044 artist.py:30(draw_wrapper)
      967    0.005    0.000    0.012    0.000 shape_base.py:597(column_stack)
    36907    0.005    0.000    0.005    0.000 artist.py:194(axes)
    14087    0.005    0.000    0.035    0.000 _asarray.py:16(asarray)
     4754    0.005    0.000    0.042    0.000 fromnumeric.py:2189(any)
     5942    0.005    0.000    0.019    0.000 contextlib.py:157(helper)
      405    0.005    0.000    2.220    0.005 functional.py:1643(batch_norm)
     1050    0.005    0.000    0.007    0.000 artist.py:1043(update_from)
      391    0.005    0.000    0.005    0.000 03_DQN_training.py:180(crop_screen)
      792    0.005    0.000    0.110    0.000 <frozen importlib._bootstrap>:870(_find_spec)
     4425    0.005    0.000    0.010    0.000 artist.py:673(set_figure)
       97    0.005    0.000    0.005    0.000 {built-in method nt.listdir}
        2    0.005    0.002    0.005    0.002 win32.py:219(detach)
      810    0.005    0.000    0.472    0.001 functional.py:1355(linear)
        2    0.005    0.002    0.017    0.008 __init__.py:289(close)
     3815    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
    805/9    0.005    0.000    0.968    0.108 <frozen importlib._bootstrap>:966(_find_and_load)
     3815    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
