         2135722 function calls (2096018 primitive calls) in 12.126 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      268    0.009    0.000    0.129    0.000 batchnorm.py:58(forward)
        1    0.001    0.001    0.125    0.125 __init__.py:92(<module>)
       12    0.124    0.010    0.124    0.010 {built-in method time.sleep}
      268    0.002    0.000    0.118    0.000 functional.py:1643(batch_norm)
       13    0.000    0.000    0.117    0.009 _backend_tk.py:58(blit)
       13    0.115    0.009    0.115    0.009 {built-in method matplotlib.backends._tkagg.blit}
      268    0.115    0.000    0.115    0.000 {built-in method batch_norm}
3455/3361    0.055    0.000    0.108    0.000 {built-in method builtins.__build_class__}
      984    0.007    0.000    0.107    0.000 artist.py:709(set_clip_path)
      104    0.000    0.000    0.105    0.001 ticker.py:2079(__call__)
17478/14555    0.024    0.000    0.105    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      104    0.001    0.000    0.104    0.001 ticker.py:2083(tick_values)
      792    0.004    0.000    0.104    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      104    0.005    0.000    0.102    0.001 ticker.py:2019(_raw_ticks)
  778/774    0.001    0.000    0.100    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
2120/1676    0.004    0.000    0.099    0.000 spines.py:487(get_spine_transform)
      773    0.001    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      773    0.002    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
2212/1676    0.001    0.000    0.096    0.000 spines.py:208(_ensure_position_is_set)
       92    0.000    0.000    0.095    0.001 spines.py:443(set_position)
     1072    0.004    0.000    0.093    0.000 rendering.py:164(render)
      268    0.001    0.000    0.093    0.000 transforms.py:199(__call__)
      268    0.001    0.000    0.093    0.000 functional.py:221(resize)
        1    0.000    0.000    0.092    0.092 colorbar.py:20(<module>)
      268    0.002    0.000    0.090    0.000 Image.py:1830(resize)
      402    0.001    0.000    0.087    0.000 axis.py:230(set_clip_path)
      268    0.086    0.000    0.086    0.000 {method 'resize' of 'ImagingCore' objects}
     1178    0.008    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    36/35    0.000    0.000    0.083    0.002 <frozen importlib._bootstrap_external>:919(create_module)
    36/35    0.081    0.002    0.083    0.002 {built-in method _imp.create_dynamic}
      166    0.001    0.000    0.081    0.000 axis.py:289(draw)
      140    0.002    0.000    0.080    0.001 axis.py:862(set_tick_params)
     3100    0.079    0.000    0.079    0.000 {built-in method nt.stat}
     1088    0.002    0.000    0.078    0.000 patches.py:209(get_transform)
     2978    0.001    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      268    0.000    0.000    0.073    0.000 __init__.py:732(data)
      268    0.001    0.000    0.072    0.000 __init__.py:715(_get_data)
        1    0.000    0.000    0.072    0.072 figure.py:12(<module>)
      268    0.047    0.000    0.071    0.000 __init__.py:1112(_ensure_string_data)
     1010    0.001    0.000    0.069    0.000 patches.py:757(get_patch_transform)
  259/237    0.001    0.000    0.069    0.000 axis.py:458(_get_tick1line)
     1010    0.005    0.000    0.069    0.000 patches.py:728(_update_patch_transform)
       46    0.000    0.000    0.069    0.001 _base.py:2744(grid)
       92    0.000    0.000    0.068    0.001 axis.py:1432(grid)
      723    0.001    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
       12    0.000    0.000    0.065    0.005 pyplot.py:426(figure)
        1    0.000    0.000    0.065    0.065 backend_bases.py:3251(new_figure_manager)
        1    0.000    0.000    0.064    0.064 _backend_tk.py:944(new_figure_manager_given_figure)
      723    0.064    0.000    0.064    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.063    0.063 _subplots.py:1(<module>)
  259/237    0.001    0.000    0.062    0.000 axis.py:469(_get_tick2line)
      268    0.062    0.000    0.062    0.000 {method 'mul' of 'torch._C._TensorBase' objects}
  248/226    0.001    0.000    0.062    0.000 axis.py:573(_get_tick1line)
      804    0.033    0.000    0.060    0.000 rendering.py:235(render1)
  248/226    0.001    0.000    0.060    0.000 axis.py:588(_get_tick2line)
     4017    0.013    0.000    0.059    0.000 artist.py:942(update)
      371    0.002    0.000    0.057    0.000 text.py:852(get_window_extent)
       11    0.000    0.000    0.056    0.005 artist.py:1578(kwdoc)
        4    0.000    0.000    0.056    0.014 functional.py:1(<module>)
        3    0.000    0.000    0.056    0.019 __init__.py:119(__init__)
        3    0.000    0.000    0.056    0.019 __init__.py:423(__init__)
      423    0.006    0.000    0.056    0.000 text.py:655(draw)
66400/55900    0.032    0.000    0.055    0.000 artist.py:219(stale)
      259    0.002    0.000    0.055    0.000 axis.py:484(_get_gridline)
     2010    0.002    0.000    0.054    0.000 markers.py:223(__init__)
    24746    0.031    0.000    0.054    0.000 lib.py:85(errcheck)
       52    0.001    0.000    0.054    0.001 axis.py:1326(get_minorticklocs)
       52    0.000    0.000    0.053    0.001 axis.py:1322(get_majorticklocs)
      268    0.000    0.000    0.053    0.000 functional.py:904(relu)
      268    0.053    0.000    0.053    0.000 {built-in method relu}
       53    0.017    0.000    0.052    0.001 adam.py:49(step)
2377/1075    0.001    0.000    0.051    0.000 _base.py:660(get_xaxis_transform)
      248    0.002    0.000    0.051    0.000 axis.py:602(_get_gridline)
2278/1020    0.001    0.000    0.050    0.000 _base.py:736(get_yaxis_transform)
     2010    0.006    0.000    0.049    0.000 markers.py:292(set_marker)
        1    0.003    0.003    0.049    0.049 glext_arb.py:38(<module>)
     4644    0.003    0.000    0.048    0.000 re.py:286(_compile)
    13/12    0.000    0.000    0.048    0.004 __init__.py:1178(update_idletasks)
        1    0.000    0.000    0.048    0.048 __init__.py:2003(__init__)
        1    0.047    0.047    0.047    0.047 {built-in method _tkinter.create}
       52    0.001    0.000    0.046    0.001 axis.py:2180(get_tick_space)
      697    0.010    0.000    0.046    0.000 lines.py:667(recache)
       13    0.000    0.000    0.046    0.004 axis.py:2004(_update_label_position)
        1    0.000    0.000    0.045    0.045 __init__.py:123(<module>)
      277    0.001    0.000    0.045    0.000 __init__.py:316(switch_to)
       52    0.000    0.000    0.045    0.001 axis.py:1147(_get_tick_bboxes)
        1    0.000    0.000    0.045    0.045 __init__.py:101(<module>)
        1    0.000    0.000    0.045    0.045 _axes.py:1(<module>)
       52    0.001    0.000    0.045    0.001 axis.py:1149(<listcomp>)
        1    0.000    0.000    0.044    0.044 contour.py:3(<module>)
      524    0.005    0.000    0.044    0.000 lines.py:751(draw)
      277    0.032    0.000    0.044    0.000 win32.py:214(set_current)
      226    0.001    0.000    0.043    0.000 sre_compile.py:557(compile)
       11    0.001    0.000    0.043    0.004 artist.py:1349(pprint_setters)
       13    0.000    0.000    0.043    0.003 axis.py:2299(_update_label_position)
       52    0.001    0.000    0.042    0.001 axis.py:2488(get_tick_space)
        3    0.006    0.002    0.042    0.014 __init__.py:142(_create)
       13    0.000    0.000    0.041    0.003 axis.py:1985(_get_tick_boxes_siblings)
132946/132549    0.023    0.000    0.040    0.000 {built-in method builtins.isinstance}
     1131    0.005    0.000    0.040    0.000 text.py:121(__init__)
        2    0.000    0.000    0.040    0.020 03_DQN_training.py:175(get_screen_width)
      268    0.000    0.000    0.039    0.000 transforms.py:93(__call__)
      268    0.008    0.000    0.038    0.000 functional.py:42(to_tensor)
      550    0.003    0.000    0.038    0.000 text.py:270(_get_layout)
       13    0.000    0.000    0.038    0.003 axis.py:2280(_get_tick_boxes_siblings)
      256    0.002    0.000    0.038    0.000 axis.py:332(_apply_params)
      268    0.001    0.000    0.037    0.000 Image.py:2552(frombuffer)
        1    0.000    0.000    0.037    0.037 _backend_tk.py:242(resize)
       24    0.000    0.000    0.036    0.002 pyplot.py:2785(plot)
       24    0.000    0.000    0.036    0.001 _axes.py:1432(plot)
      531    0.001    0.000    0.036    0.000 lines.py:1021(get_path)
     5666    0.011    0.000    0.036    0.000 fromnumeric.py:73(_wrapreduction)
      268    0.001    0.000    0.036    0.000 Image.py:2508(frombytes)
        1    0.000    0.000    0.035    0.035 __init__.py:200(_create_shadow_window)
      556    0.000    0.000    0.035    0.000 re.py:231(compile)
     3552    0.003    0.000    0.034    0.000 <__array_function__ internals>:2(any)
     4020    0.004    0.000    0.034    0.000 markers.py:245(_recache)
     1010    0.002    0.000    0.034    0.000 transforms.py:1950(rotate_deg_around)
     1441    0.008    0.000    0.034    0.000 font_manager.py:620(__init__)
      252    0.002    0.000    0.034    0.000 03_DQN_training.py:116(select_action)
     1280    0.004    0.000    0.034    0.000 artist.py:1064(set)
     2547    0.006    0.000    0.033    0.000 lib_wgl.py:108(link_GL)
       11    0.000    0.000    0.033    0.003 __init__.py:3(<module>)
      280    0.001    0.000    0.032    0.000 axis.py:798(_set_scale)
      205    0.002    0.000    0.032    0.000 backend_agg.py:164(draw_text)
        1    0.000    0.000    0.031    0.031 text.py:3(<module>)
